latitude,longitude,stake_weight,uuid,GDI,country,1linear_weight,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
1.3667,103.75,0.04802036695636906,Singapore,0.05875350892789781,Singapore,0.04802036695636906,0.050166995350674815,0.05231362374498056,0.05446025213928631,0.05660688053359206,0.05875350892789781
12.9716,77.5946,0.004213853041875165,Karnataka,0.04464578032439616,India,0.004213853041875165,0.012300238498379362,0.020386623954883564,0.028473009411387758,0.03655939486789196,0.04464578032439616
18.5236,73.8478,0.009217803529101922,Maharashtra,0.0409980760869705,India,0.009217803529101922,0.015573858040675636,0.021929912552249357,0.028285967063823067,0.03464202157539679,0.0409980760869705
20.58806,-100.38806,0.002282503731015714,QuerÃ©taro,0.034740258888930134,Mexico,0.002282503731015714,0.008774054762598597,0.015265605794181483,0.021757156825764366,0.02824870785734725,0.034740258888930134
22.3,114.1667,0.008954437713984725,Hong Kong,0.04876881384653547,China,0.008954437713984725,0.016917312940494873,0.024880188167005025,0.03284306339351517,0.04080593862002532,0.04876881384653547
25.0333,121.5333,0.010183478184531648,Taiwan,0.05204246116051045,Taiwan,0.010183478184531648,0.018555274779727404,0.026927071374923173,0.03529886797011893,0.043670664565314696,0.05204246116051045
29.9667,-90.05,0.00754982003335967,Louisiana,0.028168378588938444,United States,0.00754982003335967,0.011673531744475423,0.01579724345559118,0.019920955166706934,0.02404466687782269,0.028168378588938444
35.6833,139.7667,0.06074971468703362,Tokyo,0.052215791789297084,Japan,0.06074971468703362,0.05904293010748632,0.057336145527939,0.0556293609483917,0.05392257636884439,0.052215791789297084
37.3542,-121.9542,0.04723026951101747,California,0.03911109063665809,United States,0.04723026951101747,0.0456064337361456,0.04398259796127371,0.04235876218640185,0.04073492641152997,0.03911109063665809
37.456257,126.705208,0.00904222631902379,Incheon,0.04981000043287489,South Korea,0.00904222631902379,0.017195781141794007,0.02534933596456423,0.03350289078733445,0.041656445610104675,0.04981000043287489
37.5665,126.978,0.017206566587656923,Seoul,0.04984246522779975,South Korea,0.017206566587656923,0.023733746315685485,0.030260926043714054,0.036788105771742616,0.043315285499771185,0.04984246522779975
37.9643,-91.8318,0.00280923536125011,Missouri,0.02717816094489945,United States,0.00280923536125011,0.007683020477979977,0.012556805594709846,0.017430590711439715,0.022304375828169583,0.02717816094489945
38.9694,-77.3864,0.036520059696251425,Virginia,0.02351799046081647,United States,0.036520059696251425,0.03391964584916443,0.03131923200207744,0.02871881815499045,0.02611840430790346,0.02351799046081647
40.0583,-74.4057,0.01703098937757879,New Jersey,0.023126414798843423,United States,0.01703098937757879,0.018250074461831717,0.019469159546084643,0.02068824463033757,0.0219073297145905,0.023126414798843423
40.4173,-82.9071,0.0032481783864454395,Ohio,0.02358953165752378,United States,0.0032481783864454395,0.007316449040661107,0.011384719694876776,0.015452990349092442,0.019521261003308112,0.02358953165752378
40.7269,-73.6497,0.03564217364586077,New York,0.02297226137755781,United States,0.03564217364586077,0.033108191192200175,0.030574208738539582,0.02804022628487899,0.0255062438312184,0.02297226137755781
40.75,-111.8833,0.012641559125625495,Utah,0.02924550182378339,United States,0.012641559125625495,0.015962347665257073,0.019283136204888654,0.02260392474452023,0.02592471328415181,0.02924550182378339
41.5,-100.0,0.00992011236941445,Nebraska,0.027961022112947508,United States,0.00992011236941445,0.01352829431812106,0.017136476266827672,0.020744658215534284,0.024352840164240896,0.027961022112947508
41.85,-87.65,0.004038275831797032,Illinois,0.025460145236461573,United States,0.004038275831797032,0.008322649712729939,0.012607023593662848,0.016891397474595757,0.021175771355528665,0.025460145236461573
44.435581,26.102221,0.009130014924062856,BucureÈti,0.013637448905941733,Romania,0.009130014924062856,0.01003150172043863,0.010932988516814407,0.011834475313190181,0.012735962109565959,0.013637448905941733
45.5236,-122.675,0.0028970239662891757,Oregon,0.03255546060528779,United States,0.0028970239662891757,0.008828711294088899,0.014760398621888625,0.020692085949688344,0.026623773277488074,0.03255546060528779
46.8139,-71.208,0.04196295320867351,Quebec,0.022165858672882916,Canada,0.04196295320867351,0.038003534301515395,0.03404411539435727,0.030084696487199157,0.02612527758004104,0.022165858672882916
47.02076,8.65414,0.003774910016679835,Schwyz,0.006872994475052581,Switzerland,0.003774910016679835,0.004394526908354384,0.005014143800028933,0.0056337606917034825,0.006253377583378033,0.006872994475052581
47.369,8.538,0.019489070318672638,Zurich,0.006731794972724814,Switzerland,0.019489070318672638,0.016937615249483073,0.014386160180293508,0.011834705111103943,0.009283250041914378,0.006731794972724814
47.379238,8.08434,0.0039504872267579665,Aargau,0.006743821633331623,Switzerland,0.0039504872267579665,0.004509154108072698,0.005067820989387429,0.00562648787070216,0.006185154752016892,0.006743821633331623
47.6097,-122.3331,0.003423755596523571,Washington,0.03197348360317217,United States,0.003423755596523571,0.00913370119785329,0.01484364679918301,0.02055359240051273,0.02626353800184245,0.03197348360317217
48.210033,16.363449,0.00992011236941445,Vienna,0.008652409931828692,Austria,0.00992011236941445,0.009666571881897299,0.009413031394380147,0.009159490906862995,0.008905950419345844,0.008652409931828692
48.31739,17.17903,0.008603283293828461,Bratislava Region,0.01026346756130839,Slovakia,0.008603283293828461,0.008935320147324446,0.009267357000820434,0.009599393854316417,0.009931430707812406,0.01026346756130839
48.5734,7.7521,0.028355719427618296,Grand Est,0.006401156920920571,France,0.028355719427618296,0.023964806926278753,0.019573894424939207,0.015182981923599662,0.010792069422260117,0.006401156920920571
48.8978,2.2531,0.008778860503906593,Ãle-de-France,0.0072277523138993705,France,0.008778860503906593,0.008468638865905148,0.008158417227903704,0.00784819558990226,0.007537973951900815,0.0072277523138993705
49.45,11.0833,0.0030726011763673074,Bavaria,0.006316785933822567,Germany,0.0030726011763673074,0.0037214381278583594,0.0043702750793494114,0.005019112030840463,0.0056679489823315155,0.006316785933822567
49.497509,5.9825,0.013431656570977087,Esch-sur-Alzette,0.006373500792885389,Luxembourg,0.013431656570977087,0.012020025415358748,0.010608394259740408,0.009196763104122069,0.007785131948503729,0.006373500792885389
49.7481,6.1039,0.01703098937757879,Mersch,0.006325128004991892,Luxembourg,0.01703098937757879,0.014889817103061413,0.01274864482854403,0.010607472554026652,0.008466300279509273,0.006325128004991892
50.1167,8.6833,0.10060574137476956,Hesse,0.006154190740805469,Germany,0.10060574137476956,0.08171543124797674,0.06282512112118392,0.04393481099439111,0.02504450086759829,0.006154190740805469
50.475,12.365,0.019928013343867967,Saxony,0.006350349677894463,Germany,0.019928013343867967,0.017212480610673264,0.014496947877478565,0.011781415144283864,0.009065882411089164,0.006350349677894463
50.69,3.1817,0.026599947326836976,Hauts-de-France,0.00676904831455167,France,0.026599947326836976,0.022633767524379917,0.01866758772192285,0.014701407919465793,0.010735228117008732,0.00676904831455167
51.2333,6.7833,0.013958388201211482,North Rhine-Westphalia,0.0062468361697234605,Germany,0.013958388201211482,0.012416077794913877,0.010873767388616272,0.00933145698231867,0.0077891465760210644,0.0062468361697234605
51.5171,-0.1062,0.10622421209726977,England,0.007561775887818021,United Kingdom,0.10622421209726977,0.08649172485537944,0.06675923761348906,0.04702675037159873,0.027294263129708375,0.007561775887818021
52.23,21.0108,0.0032481783864454395,Mazovia,0.010556184747531817,Poland,0.0032481783864454395,0.004709779658662715,0.006171380930879991,0.007632982203097266,0.009094583475314543,0.010556184747531817
52.3,4.7,0.06768501448511983,North Holland,0.006602928514998285,Netherlands,0.06768501448511983,0.05546859729109553,0.04325218009707121,0.03103576290304691,0.0188193457090226,0.006602928514998285
53.3478,-6.2597,0.03476428759547011,Leinster,0.009367906857382572,Ireland,0.03476428759547011,0.029685011447852603,0.02460573530023509,0.019526459152617588,0.014447183005000079,0.009367906857382572
54.6833,25.2833,0.052760951628478624,Vilnius,0.011578485258582478,Lithuania,0.052760951628478624,0.0445244583544994,0.03628796508052016,0.028051471806540936,0.019814978532561707,0.011578485258582478
54.898903,23.885275,0.006759722588008076,Kaunas,0.011260211610119869,Lithuania,0.006759722588008076,0.007659820392430435,0.008559918196852794,0.009460016001275152,0.010360113805697511,0.011260211610119869
55.9333,23.3167,0.009217803529101922,Siauliai,0.011310877828411323,Lithuania,0.009217803529101922,0.009636418388963803,0.010055033248825682,0.010473648108687563,0.010892262968549442,0.011310877828411323
56.9489,24.1064,0.02695110174699324,Riga,0.01171526202508963,Latvia,0.02695110174699324,0.02390393380261252,0.020856765858231797,0.017809597913851075,0.014762429969470353,0.01171526202508963
59.95,10.75,0.0033359669914845053,Oslo,0.008694759254538779,Norway,0.0033359669914845053,0.00440772544409536,0.005479483896706215,0.006551242349317069,0.007623000801927925,0.008694759254538779
60.21,24.66,0.0076376086383987355,Uusimaa,0.011442464460859336,Finland,0.0076376086383987355,0.008398579802890856,0.009159550967382975,0.009920522131875095,0.010681493296367216,0.011442464460859336
